# Lifted from www.sisweb.com
# https://www.sisweb.com/referenc/source/exactmas.htm
Name	Symbol	Mass	Abundance
Xenon	Xe(126)	125.904281	0.09
Iodine	I(127)	126.904477	100.00
Xenon	Xe(128)	127.903531	1.91
Tellurium	Te(128)	127.904464	31.69
Xenon	Xe(129)	128.904780	26.40
Xenon	Xe(130)	129.903510	4.10
Tellurium	Te(130)	129.906229	33.80
Barium	Ba(130)	129.906277	0.11
Xenon	Xe(131)	130.905076	21.20
Xenon	Xe(132)	131.904148	26.90
Barium	Ba(132)	131.905042	0.10
Cesium	Cs(133)	132.905433	100.00
Barium	Ba(134)	133.904490	2.42
Xenon	Xe(134)	133.905395	10.40
Barium	Ba(135)	134.905668	6.59
Barium	Ba(136)	135.904556	7.85
Cerium	Ce(136)	135.907140	0.19
Xenon	Xe(136)	135.907219	8.90
Barium	Ba(137)	136.905816	11.23
Barium	Ba(138)	137.905236	71.70
Cerium	Ce(138)	137.905996	0.25
Lanthanum	La(138)	137.907114	0.09
Lanthanum	La(139)	138.906355	99.91
Cerium	Ce(140)	139.905442	88.48
Praseodymium	Pr(141)	140.907657	100.00
Neodymium	Nd(142)	141.907731	27.13
Cerium	Ce(142)	141.909249	11.08
Neodymium	Nd(143)	142.909823	12.18
Neodymium	Nd(144)	143.910096	23.80
Samarium	Sm(144)	143.912009	3.10
Neodymium	Nd(145)	144.912582	8.30
Neodymium	Nd(146)	145.913126	17.19
Samarium	Sm(147)	146.914907	15.00
Samarium	Sm(148)	147.914832	11.30
Neodymium	Nd(148)	147.916901	5.76
Samarium	Sm(149)	148.917193	13.80
Samarium	Sm(150)	149.917285	7.40
Neodymium	Nd(150)	149.920900	5.64
Europium	Eu(151)	150.919860	47.80
Samarium	Sm(152)	151.919741	26.70
Gadolinium	Gd(152)	151.919803	0.200
Europium	Eu(153)	152.921243	52.20
Gadolinium	Gd(154)	153.920876	2.18
Samarium	Sm(154)	153.922218	22.70
Gadolinium	Gd(155)	154.822629	14.80
Gadolinium	Gd(156)	155.922130	20.47
Dysprosium	Dy(156)	155.924287	0.060
Gadolinium	Gd(157)	156.923967	15.65
Gadolinium	Gd(158)	157.924111	24.84
Dysprosium	Dy(158)	157.924412	0.10
Terbium	Tb(159)	158.925350	100.00
Dysprosium	Dy(160)	159.925203	2.34
Gadolinium	Gd(160)	159.927061	21.86
Dysprosium	Dy(161)	160.926939	18.90
Dysprosium	Dy(162)	161.926805	25.50
Erbium	Er(162)	161.928787	0.14
Dysprosium	Dy(163)	162.928737	24.90
Dysprosium	Dy(164)	163.929183	28.20
Erbium	Er(164)	163.929211	1.61
Holmium	Ho(165)	164.930332	100.00
Erbium	Er(166)	165.930305	33.60
Erbium	Er(167)	166.932061	22.95
Erbium	Er(168)	167.932383	26.80
Ytterbium	Yb(168)	167.933908	0.13
Thulium	Tm(169)	168.934225	100.00
Ytterbium	Yb(170)	169.934774	3.05
Erbium	Er(170)	169.935476	14.90
Ytterbium	Yb(171)	170.936338	14.30
Ytterbium	Yb(172)	171.936393	21.90
Ytterbium	Yb(173)	172.938222	16.12
Ytterbium	Yb(174)	173.938873	31.80
Hafnium	Hf(174)	173.940065	0.16
Lutetium	Lu(175)	174.940785	97.40
Hafnium	Hf(176)	175.941420	5.20
Ytterbium	Yb(176)	175.942576	12.70
Lutetium	Lu(176)	175.942694	2.60
Hafnium	Hf(177)	176.943233	18.60
Hafnium	Hf(178)	177.943710	27.10
Hafnium	Hf(179)	178.945827	13.74
Hafnium	Hf(180)	179.946561	35.20
Tungsten	W(180)	179.946727	0.13
Tantalum	Ta(180)	179.947489	0.012
Tantalum	Ta(181)	180.948014	99.99
Tungsten	W(182)	181.948225	26.30
Tungsten	W(183)	182.950245	14.30
Tungsten	W(184)	183.950953	30.67
Osmium	Os(184)	183.952514	0.02
Rhenium	Re(185)	184.952977	37.40
Osmium	Os(186)	185.953852	1.58
Tungsten	W(186)	185.954377	28.60
Osmium	Os(187)	186.955762	1.60
Rhenium	Re(187)	186.955765	62.60
Osmium	Os(188)	187.955850	13.30
Osmium	Os(189)	188.958156	16.10
Osmium	Os(190)	189.958455	26.40
Platinum	Pt(190)	189.959937	0.010
Iridium	Ir(191)	190.960603	37.30
Platinum	Pt(192)	191.961049	0.79
Osmium	Os(192)	191.961487	41.00
Iridium	Ir(193)	192.962942	62.70
Platinum	Pt(194)	193.962679	32.90
Platinum	Pt(195)	194.964785	33.80
Platinum	Pt(196)	195.964947	25.30
Mercury	Hg(196)	195.965812	0.15
Gold	Au(197)	196.966560	100.00
Mercury	Hg(198)	197.966760	10.10
Platinum	Pt(198)	197.967879	7.20
Mercury	Hg(199)	198.968269	17.00
Mercury	Hg(200)	199.968316	23.10
Mercury	Hg(201)	200.970293	13.20
Mercury	Hg(202)	201.970632	29.65
Thallium	Tl(203)	202.972336	29.52
Lead	Pb(204)	203.973037	1.40
Mercury	Hg(204)	203.973481	6.80
Thallium	Tl(205)	204.974410	70.48
Lead	Pb(206)	205.974455	24.10
Lead	Pb(207)	206.975885	22.10
Lead	Pb(208)	207.976641	52.40
Bismuth	Bi(209)	208.980388	100.00
Thorium	Th(232)	232.038054	100.00
Uranium	U(234)	234.040947	0.006
Uranium	U(235)	235.043925	0.72
Uranium	U(238)	238.050786	99.27
